"cluster","marker","log2FC","pval"
"98","Cell_length",0.0644423840854405,1.43492327228556e-34
"88","Cell_length",-0.218734040685216,5.04359656613314e-137
"89","Cell_length",0.0204189067546892,3.22948651363791e-07
"99","Cell_length",-0.189852057496548,0
"90","Cell_length",0.153942182345228,0
"80","Cell_length",0.0641711831631475,0.000260649271746069
"100","Cell_length",-0.0666360545505913,1.65738894651592e-58
"96","Cell_length",0.140840184318794,2.1493970204824e-205
"95","Cell_length",0.109398266769605,1.76033055039862e-183
"87","Cell_length",-0.208628417576668,2.4923994292719e-292
"97","Cell_length",-0.027989303581655,0.000955676628610015
"86","Cell_length",-0.189334986319262,1.45442620611173e-114
"44","Cell_length",-0.395295324925564,9.50713607869644e-95
"45","Cell_length",-0.307626843969065,9.03004157373837e-198
"30","Cell_length",0.195119788281612,0
"20","Cell_length",0.187067505041036,0
"27","Cell_length",-0.0464128460907958,2.527997646679e-29
"39","Cell_length",0.026289071399898,1.06918804905402e-60
"9","Cell_length",0.230627195396482,0
"29","Cell_length",0.0169788764423251,1.0223141220733e-32
"7","Cell_length",0.000133745892395343,0.923432035869672
"5","Cell_length",0.0422840264888706,4.36720417047469e-112
"28","Cell_length",-0.147396690514716,0
"19","Cell_length",0.168795418980396,1.68772811828998e-312
"26","Cell_length",-0.176768147291913,0
"17","Cell_length",-0.0931066539880072,0
"37","Cell_length",-0.396578200280701,0
"16","Cell_length",-0.151667050716606,0
"18","Cell_length",0.0677210521933767,3.88091143007302e-230
"6","Cell_length",-0.094963577493971,9.29764370400376e-173
"49","Cell_length",0.0513515434043956,3.97682668140264e-221
"8","Cell_length",0.0489258899405329,2.3817015611332e-182
"15","Cell_length",-0.0691744755195502,0.00313747221751379
"36","Cell_length",-0.441442033880041,0
"35","Cell_length",-0.299120142699902,0.00400956065895813
"66","Cell_length",-0.0958571133010053,2.93160715163908e-15
"38","Cell_length",-0.0894342862920618,3.70691570959213e-230
"77","Cell_length",-0.0786131116725799,3.10012155505798e-308
"10","Cell_length",0.256544114610713,0
"48","Cell_length",-0.126241278770471,0
"78","Cell_length",0.0326775509440762,5.99181106181318e-94
"40","Cell_length",0.19867001315067,0
"46","Cell_length",-0.416213298287563,0
"50","Cell_length",0.19105480075383,0
"68","Cell_length",0.0320465426374743,9.94657033443508e-49
"57","Cell_length",-0.161746749649483,0
"58","Cell_length",-0.0804493551891772,3.81942505293107e-179
"60","Cell_length",0.116544046485817,0
"47","Cell_length",-0.376111280582911,0
"69","Cell_length",0.106880553155023,1.73677312886642e-249
"56","Cell_length",-0.176643284503826,0
"59","Cell_length",0.0608577138427215,1.63871421698186e-174
"67","Cell_length",-0.0420572472623622,5.8316302514692e-53
"79","Cell_length",0.209510427508543,0
"70","Cell_length",0.278826771697321,0
"73","Cell_length",0.0702939012799206,2.65199459706196e-181
"93","Cell_length",0.259094481729169,0
"74","Cell_length",0.000316399953984803,0.883230444064804
"63","Cell_length",-0.118227735689806,8.15978597449924e-256
"62","Cell_length",0.00444613718901365,0.0258166056222854
"84","Cell_length",0.169528089747374,0
"52","Cell_length",-0.162639920551192,0
"76","Cell_length",-0.0141077152493958,4.14303010649136e-08
"65","Cell_length",-0.102294967151902,8.54091107487578e-213
"83","Cell_length",0.19949053943032,0
"75","Cell_length",-0.0547194019521451,8.73154754491046e-64
"64","Cell_length",-0.112865127975937,5.33876388964894e-283
"25","Cell_length",-0.181286974777533,4.55013852622926e-116
"53","Cell_length",-0.356874263100107,0
"54","Cell_length",-0.447923705932676,0
"55","Cell_length",-0.262678608242796,4.7160524998865e-262
"94","Cell_length",0.0593529020293306,2.06099423705246e-169
"85","Cell_length",0.168858551620064,1.04270252000049e-289
"71","Cell_length",-0.435600669807207,0
"72","Cell_length",-0.0673622710830428,2.64247841808791e-47
"42","Cell_length",-0.251038927123917,4.58897136498037e-244
"61","Cell_length",-0.119995864437269,0
"3","Cell_length",0.222451901149967,0
"31","Cell_length",0.027539592349378,2.10321998065809e-22
"92","Cell_length",0.000915414350558308,0.89211481558122
"32","Cell_length",-0.198525257557055,0
"14","Cell_length",-0.00697973355585457,0.00309674936613254
"24","Cell_length",-0.135023201225985,1.50498385429886e-231
"82","Cell_length",0.101867490058454,6.42924419289677e-191
"13","Cell_length",0.0386288122365175,3.05735261589972e-84
"21","Cell_length",0.0322358698511835,6.66475994788404e-18
"4","Cell_length",0.126537088379006,0
"12","Cell_length",0.00817634201370798,4.7627702578888e-05
"22","Cell_length",-0.0520197735800541,2.80654470942015e-127
"23","Cell_length",-0.0728903222526229,3.32626548701726e-255
"1","Cell_length",0.255511890958789,0
"33","Cell_length",-0.264798660220629,0
"2","Cell_length",0.168077436610044,3.69544013632056e-306
"43","Cell_length",-0.409228472502376,0
"34","Cell_length",-0.450200007226309,0
